description;amount;operation_time;hide;master;currency_id;category_id;card_id;parent_transaction_id;user_id;operation_type
Расход на поездку;1541.54;2025-02-18 18:02:53;1;0;3;4;5;;2;transfer
Выплата займа (1087);4672.98;2025-02-27 06:09:45;1;0;2;7;2;;3;outgoing
Капитализация;1913.02;2025-07-21 08:45:33;1;1;1;9;2;;2;outgoing
Перевод на счет;1965.90;2025-03-09 18:08:21;0;0;1;5;4;;3;outgoing
Платеж в сервис;1149.09;2025-05-08 17:54:03;0;1;1;2;1;;2;incoming
Оплата товара (1202);505.38;2025-02-20 21:02:57;0;0;3;1;4;;3;incoming
Оплата товара (4839);1171.57;2025-07-29 18:50:05;1;1;1;5;2;;3;incoming
Купил ленту;305.73;2025-08-04 13:36:26;0;1;3;8;1;;3;outgoing
Платеж в сервис;2082.21;2025-03-13 16:37:11;1;0;3;8;2;;2;incoming
Расход на поездку;2812.37;2025-08-08 00:50:10;0;1;1;5;2;;1;outgoing
Капитализация (3220);258.63;2025-04-23 17:21:55;0;0;1;9;2;;2;transfer
Оплата товара (3213);4810.43;2025-03-07 22:48:20;1;0;3;4;4;;3;transfer
Зарплата;2668.72;2025-04-20 12:00:03;1;1;3;8;4;;3;outgoing
Капитализация;1854.15;2025-04-30 08:10:41;0;0;1;5;5;;3;outgoing
Зарплата (5504);1150.86;2025-05-28 09:29:25;0;1;3;6;3;;2;outgoing
Расход на поездку (5870);847.16;2025-06-24 11:45:15;1;0;3;1;5;20;3;outgoing
Оплата товара;4212.88;2025-03-28 11:47:31;0;0;1;9;4;;3;incoming
Расход на поездку;79.64;2025-05-21 15:09:27;1;0;1;9;6;;2;outgoing
Платеж в сервис;3370.49;2025-07-09 22:38:39;0;0;1;9;2;;3;incoming
Зарплата;1337.36;2025-04-27 06:35:32;1;1;2;4;6;;3;outgoing
Выплата процентов;3249.82;2025-02-20 12:52:36;1;1;2;9;4;;1;incoming
Приход с карты;2170.11;2025-07-06 00:30:19;0;0;1;4;6;;2;transfer
Оплата товара;3422.46;2025-04-06 07:12:40;0;0;2;1;2;;3;outgoing
