description;amount;operation_time;hide;master;currency_id;category_id;card_id;parent_transaction_id;user_id;operation_type
Капитализация;4603.93;2025-09-09 00:05:43;0;1;1;3;1;;1;TRANSFER
Купил ленту;637.31;2025-08-03 12:23:32;1;0;2;6;4;;2;TRANSFER
Зарплата (7143);3033.70;2025-07-16 20:10:51;1;1;1;6;3;;2;TRANSFER
Выплата процентов (8545);3165.07;2025-07-19 04:04:38;0;1;1;4;3;;2;TRANSFER
Оплата товара (7884);4248.84;2025-06-01 22:40:55;1;0;1;3;1;;1;TRANSFER
Вывод на карту (190);-3892.32;2025-06-28 05:27:28;1;0;2;6;4;;2;OUTGOING
Перевод на счет;2656.13;2025-08-28 10:37:17;1;1;2;3;2;;1;TRANSFER
Платеж в сервис;-3718.53;2025-08-13 06:39:27;1;0;2;9;6;;3;OUTGOING
Выплата процентов (7306);-3568.01;2025-07-01 01:04:35;1;1;2;9;6;;3;OUTGOING
Купил ленту;1070.55;2025-08-02 12:17:36;1;1;1;2;1;;1;TRANSFER
Кредитный платеж;-4283.80;2025-10-04 15:25:57;1;1;2;4;4;;2;OUTGOING
Купил ленту;2731.12;2025-09-05 10:06:55;0;1;2;4;4;;2;TRANSFER
Купил ленту;3990.91;2025-09-27 04:31:39;1;0;1;6;3;;2;TRANSFER
Приход с карты;-4334.39;2025-06-21 13:08:00;1;1;1;5;3;;2;OUTGOING
Купил ленту (7006);4174.72;2025-08-12 11:47:22;0;1;2;4;4;;2;INCOMING
Оплата товара;-4196.31;2025-09-08 16:14:03;0;0;1;8;5;;3;OUTGOING
Расход на поездку;839.78;2025-09-06 03:22:24;0;0;1;8;5;;3;INCOMING
Кредитный платеж;1983.88;2025-09-25 12:55:39;0;0;2;1;2;;1;INCOMING
Кредитный платеж;2664.19;2025-09-15 21:50:10;0;1;1;4;3;;2;INCOMING
Купил ленту;4457.98;2025-08-10 14:08:17;0;1;1;4;3;;2;TRANSFER
Кредитный платеж;3873.43;2025-08-11 12:19:07;1;1;2;7;6;;3;TRANSFER
Расход на поездку (7713);3052.05;2025-07-27 01:17:52;0;1;2;2;2;;1;TRANSFER
Зарплата;3506.22;2025-07-08 13:32:39;0;0;2;1;2;;1;TRANSFER
Платеж в сервис;2380.99;2025-09-24 23:13:24;1;0;2;4;4;;2;TRANSFER
Зарплата;2366.83;2025-08-23 09:38:48;1;1;1;5;3;;2;INCOMING
Зарплата (3255);598.65;2025-08-24 06:59:47;0;0;2;4;4;;2;INCOMING
Приход с карты;1138.19;2025-06-21 03:15:05;0;0;2;5;4;4;2;INCOMING
Выплата займа;4342.44;2025-08-16 04:39:36;0;1;2;8;6;;3;TRANSFER
Оплата товара (7927);-4110.76;2025-07-30 23:07:13;0;0;1;4;3;;2;OUTGOING
Приход с карты;-2790.81;2025-08-02 17:56:09;0;1;2;8;6;;3;OUTGOING
Зарплата;-3048.54;2025-09-30 01:14:59;0;0;2;5;4;;2;OUTGOING
Перевод на счет;-14.38;2025-08-08 22:14:24;1;1;1;1;1;;1;OUTGOING
Выплата займа;-3437.24;2025-11-02 03:21:35;0;1;2;7;6;;3;OUTGOING
Зарплата;-299.13;2025-10-09 12:13:10;1;1;1;7;5;;3;OUTGOING
Зарплата;2189.36;2025-09-04 11:34:57;1;1;2;6;4;;2;INCOMING
Выплата процентов;2936.03;2025-05-23 13:41:04;1;0;1;1;1;;1;TRANSFER
Зарплата (9690);3174.29;2025-08-16 08:19:10;0;1;2;8;6;;3;INCOMING
Перевод на счет;2477.85;2025-09-16 02:25:30;1;0;1;5;3;;2;TRANSFER
Приход с карты;4324.69;2025-10-15 07:44:58;0;1;2;5;4;;2;INCOMING
Кредитный платеж;2210.76;2025-05-29 03:01:37;1;0;2;8;6;;3;TRANSFER
Приход с карты (4020);792.73;2025-08-26 23:41:19;1;0;2;7;6;;3;TRANSFER
Приход с карты;-2492.38;2025-09-25 19:47:25;1;1;2;2;2;;1;OUTGOING
Платеж в сервис (3222);2541.70;2025-10-25 02:45:12;0;1;2;2;2;;1;TRANSFER
Оплата товара (4991);2900.04;2025-09-15 15:00:29;0;1;2;9;6;;3;TRANSFER
Расход на поездку;-4903.89;2025-07-01 19:42:14;1;0;2;5;4;61;2;OUTGOING
Купил ленту;4904.11;2025-08-16 23:53:02;0;0;2;9;6;;3;TRANSFER
Расход на поездку (7586);-3612.50;2025-08-01 15:10:18;0;0;1;5;3;;2;OUTGOING
Кредитный платеж;402.50;2025-07-17 23:28:03;1;1;2;6;4;;2;TRANSFER
Кредитный платеж (4808);-3734.09;2025-08-05 22:49:15;0;0;1;5;3;;2;OUTGOING
Оплата товара;-1467.55;2025-07-26 07:22:39;0;0;1;6;3;;2;OUTGOING
Перевод на счет (6367);3415.99;2025-08-17 09:59:12;0;0;1;8;5;;3;TRANSFER
Выплата процентов (7722);3388.38;2025-06-17 06:31:07;1;1;2;6;4;;2;INCOMING
Расход на поездку;-4996.87;2025-10-20 10:28:24;0;0;2;5;4;;2;OUTGOING
Выплата займа (6584);41.48;2025-10-22 13:09:19;0;1;2;8;6;;3;INCOMING
Вывод на карту;1253.88;2025-10-02 20:09:29;0;0;2;3;2;;1;TRANSFER
Оплата товара;657.93;2025-10-30 13:39:22;1;1;2;4;4;;2;TRANSFER
Платеж в сервис;4152.53;2025-07-05 02:10:29;1;1;2;9;6;;3;INCOMING
Приход с карты (3796);3621.36;2025-11-12 05:24:52;1;0;2;2;2;69;1;TRANSFER
Капитализация;1311.54;2025-07-27 10:05:39;1;0;2;3;2;;1;TRANSFER
Кредитный платеж (1135);4119.45;2025-10-30 12:37:07;1;1;2;1;2;;1;TRANSFER
Расход на поездку (3946);679.18;2025-08-09 11:48:18;1;0;2;2;2;;1;TRANSFER
Зарплата (6170);-2217.47;2025-11-06 22:27:45;1;0;2;6;4;;2;OUTGOING
Оплата товара;-4841.07;2025-11-06 15:47:26;1;0;2;9;6;;3;OUTGOING
Оплата товара;-4944.12;2025-10-08 11:48:34;0;0;1;9;5;;3;OUTGOING
Капитализация;15.17;2025-10-21 08:22:43;0;0;1;3;1;;1;TRANSFER
Выплата процентов;-75.29;2025-10-09 00:47:52;0;1;1;1;1;;1;OUTGOING
Выплата займа;-3728.58;2025-08-13 13:26:48;1;0;1;2;1;;1;OUTGOING
Выплата займа;2607.73;2025-08-10 06:48:28;0;0;1;8;5;;3;TRANSFER
Расход на поездку;368.38;2025-06-03 09:04:44;0;0;1;4;3;;2;INCOMING
Купил ленту;1475.19;2025-08-18 20:02:41;1;0;2;9;6;;3;TRANSFER
Купил ленту;-2069.65;2025-10-15 18:30:54;1;1;1;9;5;;3;OUTGOING
Выплата процентов (2600);4615.00;2025-05-31 22:04:48;0;0;2;5;4;;2;TRANSFER
Перевод на счет;4783.17;2025-08-28 22:32:11;0;1;2;8;6;;3;TRANSFER
Зарплата;518.90;2025-08-19 04:05:10;0;1;1;4;3;;2;INCOMING
Приход с карты;1131.57;2025-08-05 01:49:47;0;1;2;4;4;;2;TRANSFER
Капитализация;-4349.44;2025-08-29 18:34:16;1;0;2;7;6;;3;OUTGOING
Выплата займа;2099.74;2025-07-20 04:44:05;1;1;1;3;1;;1;INCOMING
Оплата товара (915);408.83;2025-08-07 14:18:44;1;1;1;9;5;;3;TRANSFER
Платеж в сервис (7143);-1416.95;2025-09-18 23:07:29;1;1;1;4;3;;2;OUTGOING
Оплата товара (3560);-3821.04;2025-07-10 22:28:32;0;0;1;8;5;;3;OUTGOING
Купил ленту;-2501.81;2025-10-16 20:09:15;1;0;1;2;1;;1;OUTGOING
Оплата товара;-4310.69;2025-08-31 11:20:37;1;1;2;2;2;;1;OUTGOING
Перевод на счет;2301.02;2025-09-20 23:10:46;1;0;2;2;2;;1;TRANSFER
Кредитный платеж;-1979.44;2025-07-14 16:27:01;1;0;2;2;2;;1;OUTGOING
Платеж в сервис;1756.15;2025-11-08 07:35:20;0;0;1;1;1;;1;INCOMING
Кредитный платеж (1334);-4756.51;2025-09-09 20:48:10;1;1;1;3;1;;1;OUTGOING
Выплата процентов;342.36;2025-08-07 10:24:10;1;1;2;9;6;;3;INCOMING
Зарплата;-285.39;2025-10-16 12:59:37;0;0;1;9;5;;3;OUTGOING
Кредитный платеж;4479.49;2025-08-08 18:54:49;0;1;2;6;4;;2;TRANSFER
Расход на поездку (5726);422.56;2025-09-13 03:19:59;0;0;1;3;1;;1;TRANSFER
Капитализация;1937.70;2025-10-06 05:45:07;0;1;1;4;3;;2;INCOMING
Зарплата (9974);-1667.48;2025-09-01 17:29:55;0;1;2;8;6;;3;OUTGOING
Перевод на счет;-1548.60;2025-07-26 15:19:07;1;0;2;9;6;;3;OUTGOING
Выплата процентов;1809.78;2025-07-24 02:29:10;0;0;1;8;5;;3;TRANSFER
Вывод на карту;-386.75;2025-10-18 19:59:41;0;0;1;6;3;;2;OUTGOING
Кредитный платеж;-905.05;2025-09-21 13:09:26;0;1;1;7;5;;3;OUTGOING
Расход на поездку;3919.22;2025-06-30 22:57:24;0;1;1;8;5;;3;TRANSFER
Выплата процентов;2308.94;2025-07-09 13:19:05;1;1;2;1;2;;1;INCOMING
Зарплата (7973);2773.15;2025-06-07 07:15:06;0;1;1;7;5;;3;INCOMING
Платеж в сервис (7267);-4732.12;2025-06-28 19:16:06;1;1;2;4;4;;2;OUTGOING
Вывод на карту;-1875.19;2025-05-24 21:50:03;0;1;2;4;4;;2;OUTGOING
Выплата займа;2346.08;2025-09-07 14:22:07;0;0;2;5;4;;2;TRANSFER
Приход с карты;-1506.45;2025-05-28 10:20:30;1;1;2;1;2;;1;OUTGOING
Выплата процентов;-3593.00;2025-07-11 06:21:33;0;1;1;4;3;;2;OUTGOING
Платеж в сервис;-4767.06;2025-08-25 18:29:53;0;1;1;2;1;100;1;OUTGOING
Выплата займа (1206);1206.39;2025-09-15 02:45:18;0;1;2;4;4;140;2;INCOMING
Выплата процентов;2393.18;2025-06-21 15:30:18;0;0;1;6;3;;2;TRANSFER
Зарплата (3368);-1578.66;2025-07-14 15:35:31;1;1;1;5;3;49;2;OUTGOING
Оплата товара;1366.81;2025-10-10 17:13:24;1;1;2;6;4;;2;INCOMING
Перевод на счет;1837.37;2025-10-10 08:21:38;1;0;2;6;4;;2;INCOMING
Платеж в сервис (1780);-1640.27;2025-07-12 01:13:43;1;1;1;4;3;;2;OUTGOING
Оплата товара;3074.64;2025-08-06 03:00:25;0;0;2;6;4;;2;INCOMING
Оплата товара (7279);-632.02;2025-07-01 07:33:51;1;1;1;5;3;;2;OUTGOING
Выплата процентов;1860.69;2025-10-04 04:35:20;0;1;1;2;1;;1;INCOMING
Приход с карты (3148);2589.21;2025-10-31 06:34:04;0;1;1;5;3;;2;INCOMING
Выплата займа;1001.69;2025-06-13 06:24:39;0;1;2;1;2;;1;INCOMING
Выплата процентов;3339.53;2025-09-24 13:16:44;1;1;1;4;3;;2;INCOMING
Капитализация;-4925.68;2025-10-09 09:47:16;0;1;1;7;5;;3;OUTGOING
Расход на поездку;649.73;2025-10-26 00:00:31;0;1;2;8;6;;3;TRANSFER
Платеж в сервис;4116.87;2025-06-02 02:40:02;1;0;2;8;6;;3;INCOMING
Перевод на счет;3199.33;2025-06-21 14:08:41;0;1;2;9;6;;3;TRANSFER
Платеж в сервис (2797);-1613.98;2025-09-24 12:22:44;1;1;1;1;1;;1;OUTGOING
Перевод на счет;2667.86;2025-08-18 07:10:48;0;0;2;7;6;;3;TRANSFER
Кредитный платеж (564);-228.26;2025-09-12 07:08:39;1;0;2;9;6;;3;OUTGOING
Расход на поездку;1449.07;2025-11-08 00:47:34;1;0;1;9;5;;3;TRANSFER
Выплата займа (7302);2421.77;2025-06-25 13:26:36;0;1;1;6;3;;2;INCOMING
Перевод на счет;2808.69;2025-07-16 06:38:41;1;0;2;5;4;;2;TRANSFER
Оплата товара (6393);2091.26;2025-11-09 02:52:01;0;1;1;3;1;;1;TRANSFER
Расход на поездку;2494.30;2025-07-14 08:57:32;0;0;1;2;1;;1;INCOMING
Кредитный платеж;-1407.50;2025-09-04 09:20:42;1;1;1;3;1;28;1;OUTGOING
Зарплата;1830.32;2025-07-30 22:34:36;0;1;1;6;3;;2;INCOMING
Платеж в сервис (2046);-4875.44;2025-07-29 17:43:41;1;1;2;4;4;;2;OUTGOING
Платеж в сервис (737);-3568.25;2025-10-11 13:11:48;1;0;2;9;6;;3;OUTGOING
Кредитный платеж;4953.09;2025-09-29 21:55:25;1;1;2;3;2;;1;INCOMING
Выплата займа;4078.93;2025-07-25 03:22:11;0;1;2;9;6;;3;INCOMING
Кредитный платеж;3914.74;2025-10-06 13:05:02;0;0;1;9;5;;3;TRANSFER
Перевод на счет;-158.82;2025-11-06 12:18:37;0;0;2;7;6;;3;OUTGOING
Купил ленту;2509.60;2025-09-06 21:38:57;1;0;1;6;3;;2;INCOMING
Выплата процентов;1569.45;2025-06-20 00:12:44;1;1;2;3;2;;1;INCOMING
Кредитный платеж;-1395.75;2025-07-12 13:34:50;1;1;2;9;6;;3;OUTGOING
Капитализация;4668.57;2025-10-10 00:12:55;1;1;2;7;6;;3;TRANSFER
Купил ленту;-1452.97;2025-07-10 14:37:38;0;1;2;8;6;;3;OUTGOING
Вывод на карту (8924);4665.19;2025-09-22 03:31:27;0;0;2;9;6;;3;INCOMING
Оплата товара;1129.13;2025-06-30 17:55:05;0;1;1;2;1;;1;TRANSFER
Оплата товара;-2035.13;2025-11-04 03:24:10;1;1;1;3;1;;1;OUTGOING
Зарплата;-3261.84;2025-06-30 15:15:19;0;0;2;5;4;;2;OUTGOING
Купил ленту;-4683.11;2025-11-09 00:28:18;1;0;1;1;1;;1;OUTGOING
Капитализация (9001);2470.07;2025-11-04 18:38:43;1;1;1;7;5;;3;TRANSFER
Выплата займа;3593.27;2025-05-22 08:54:28;1;1;1;6;3;;2;INCOMING
Кредитный платеж;4135.12;2025-08-20 14:04:35;0;1;1;3;1;;1;INCOMING
Капитализация;-1304.67;2025-07-01 05:30:57;1;1;2;2;2;;1;OUTGOING
Зарплата;1182.28;2025-09-17 00:54:00;1;1;1;7;5;;3;TRANSFER
Выплата займа (4933);3073.51;2025-06-28 06:41:59;0;1;2;7;6;;3;INCOMING
Купил ленту;3787.00;2025-10-11 04:40:57;0;0;2;9;6;;3;INCOMING
Платеж в сервис;-4586.31;2025-06-09 00:48:22;0;0;2;1;2;;1;OUTGOING
Приход с карты;2916.16;2025-06-05 04:55:55;1;0;2;8;6;;3;TRANSFER
Кредитный платеж (7675);4034.77;2025-09-27 00:38:02;1;1;2;4;4;;2;TRANSFER
Оплата товара;319.74;2025-11-14 18:40:42;0;1;1;7;5;;3;TRANSFER
Выплата процентов;4818.95;2025-07-26 05:44:07;1;1;1;2;1;;1;TRANSFER
Выплата процентов;-893.19;2025-08-24 13:01:15;0;0;1;7;5;;3;OUTGOING
Выплата процентов;2660.14;2025-10-15 00:58:52;0;1;2;5;4;;2;INCOMING
Оплата товара;3075.00;2025-11-04 08:36:43;0;0;1;1;1;;1;INCOMING
Расход на поездку;4361.19;2025-07-02 21:18:56;0;1;1;8;5;;3;TRANSFER
Перевод на счет;1171.57;2025-10-31 18:53:57;1;1;1;1;1;;1;INCOMING
Купил ленту;-2784.03;2025-09-03 08:03:58;0;1;1;3;1;;1;OUTGOING
Платеж в сервис;2041.89;2025-07-12 19:34:56;0;1;2;4;4;;2;INCOMING
Расход на поездку;2063.97;2025-08-02 19:22:41;0;1;1;4;3;;2;TRANSFER
Расход на поездку;-2678.64;2025-10-16 03:05:57;0;1;1;5;3;;2;OUTGOING
Приход с карты (9726);3357.58;2025-06-27 21:34:32;0;1;1;8;5;;3;TRANSFER
Вывод на карту;-3734.65;2025-10-02 14:46:22;0;0;1;2;1;;1;OUTGOING
Зарплата;3243.96;2025-07-14 08:26:54;1;1;2;8;6;;3;TRANSFER
Капитализация;1565.30;2025-05-28 01:33:17;0;0;2;7;6;;3;INCOMING
Зарплата (5504);-1899.82;2025-10-16 20:11:28;1;1;2;8;6;;3;OUTGOING
Расход на поездку (5870);-700.65;2025-08-26 05:08:39;0;0;2;6;4;20;2;OUTGOING
Оплата товара;1157.94;2025-09-24 03:02:12;0;0;1;9;5;;3;TRANSFER
Выплата процентов;-2661.53;2025-08-01 21:02:47;0;1;2;3;2;;1;OUTGOING
Перевод на счет (1678);745.34;2025-06-23 09:12:38;1;1;2;2;2;;1;TRANSFER
Купил ленту;-4951.17;2025-06-29 11:46:03;0;0;2;1;2;;1;OUTGOING
Оплата товара;857.75;2025-08-17 19:27:08;1;1;2;6;4;;2;TRANSFER
Вывод на карту (9386);1356.20;2025-11-02 04:25:55;1;0;1;1;1;;1;INCOMING
Вывод на карту;4104.69;2025-11-03 00:48:14;1;0;1;6;3;;2;TRANSFER
Купил ленту;-3952.70;2025-09-20 21:53:08;0;1;2;4;4;;2;OUTGOING
Капитализация;4774.34;2025-07-30 05:49:16;1;0;1;3;1;;1;TRANSFER
Вывод на карту;2159.81;2025-09-19 04:20:45;1;0;2;6;4;;2;INCOMING
Приход с карты (6325);3919.67;2025-06-16 14:32:25;1;1;1;2;1;;1;TRANSFER
Расход на поездку;512.05;2025-06-04 13:11:17;1;1;2;3;2;;1;INCOMING
Оплата товара (9180);-2985.03;2025-10-08 00:50:22;1;0;1;5;3;;2;OUTGOING
Кредитный платеж;1904.28;2025-06-13 19:51:11;1;1;1;2;1;;1;TRANSFER
Зарплата;3913.55;2025-07-23 20:07:25;0;1;2;3;2;;1;INCOMING
Перевод на счет;1661.75;2025-09-08 11:17:39;1;1;1;5;3;;2;INCOMING
Зарплата;1005.06;2025-07-15 09:20:09;1;1;1;8;5;;3;TRANSFER
Кредитный платеж;1880.90;2025-10-13 19:19:13;1;1;2;7;6;;3;INCOMING
Выплата процентов;-4765.07;2025-08-10 22:16:19;0;1;1;2;1;;1;OUTGOING
Выплата процентов;1514.86;2025-07-04 07:38:56;0;1;2;2;2;;1;TRANSFER
Кредитный платеж;4617.56;2025-10-23 08:52:54;1;0;2;8;6;;3;TRANSFER
Приход с карты;3323.80;2025-06-18 18:38:47;0;1;1;8;5;;3;TRANSFER
Оплата товара (3737);3734.52;2025-08-28 06:35:44;0;1;1;5;3;;2;TRANSFER
Капитализация;523.64;2025-08-02 17:04:40;0;0;1;9;5;;3;INCOMING
Расход на поездку;2415.15;2025-08-13 13:05:10;1;1;2;5;4;;2;TRANSFER
Оплата товара;547.70;2025-10-10 20:16:50;0;0;1;3;1;;1;TRANSFER
Расход на поездку (6736);923.07;2025-09-12 02:55:58;1;1;2;7;6;;3;TRANSFER
Кредитный платеж;-3523.97;2025-06-25 21:03:11;0;0;2;3;2;;1;OUTGOING
Расход на поездку (8119);4829.62;2025-07-15 05:58:11;1;1;1;6;3;;2;TRANSFER
Кредитный платеж (4973);2951.25;2025-09-17 19:34:47;1;0;2;4;4;;2;TRANSFER
Выплата займа (6464);2982.53;2025-08-31 07:13:34;1;0;2;2;2;;1;INCOMING
Платеж в сервис (4832);-936.31;2025-10-18 09:26:25;0;1;1;7;5;;3;OUTGOING
Платеж в сервис;2046.26;2025-08-16 08:19:11;1;1;2;1;2;;1;INCOMING
Зарплата (3783);1444.06;2025-10-07 08:51:42;1;0;1;3;1;;1;TRANSFER
Платеж в сервис;-3800.26;2025-08-07 06:46:04;0;1;2;7;6;;3;OUTGOING
Зарплата;-2249.21;2025-07-21 13:55:00;0;1;1;7;5;;3;OUTGOING
Выплата займа;4305.38;2025-09-06 16:23:42;1;0;1;3;1;;1;INCOMING
Оплата товара;1406.14;2025-08-24 19:32:39;1;1;1;2;1;;1;TRANSFER
Перевод на счет;4593.92;2025-11-14 11:36:16;0;0;1;7;5;;3;INCOMING
Выплата процентов;-2887.55;2025-07-07 04:55:20;1;1;1;5;3;;2;OUTGOING
Платеж в сервис;4681.74;2025-07-25 06:27:05;1;1;2;3;2;199;1;TRANSFER
Выплата займа;3321.05;2025-07-23 07:35:10;0;1;1;7;5;;3;TRANSFER
Зарплата;1689.44;2025-08-31 20:44:15;1;1;2;3;2;;1;INCOMING
Выплата процентов;82.39;2025-11-03 03:12:51;0;1;1;2;1;246;1;INCOMING
Выплата займа;1510.03;2025-10-24 05:34:23;1;0;1;6;3;;2;TRANSFER
Выплата процентов;-259.88;2025-09-09 10:40:28;0;1;2;3;2;;1;OUTGOING
Вывод на карту;-2968.80;2025-08-21 08:03:48;1;0;1;1;1;;1;OUTGOING
Выплата займа (1260);-1915.97;2025-09-28 08:57:43;0;0;2;2;2;;1;OUTGOING
Купил ленту;-3208.24;2025-09-18 17:17:46;0;0;1;6;3;;2;OUTGOING
Выплата займа (2580);3080.76;2025-08-07 11:09:44;0;0;2;4;4;;2;INCOMING
Капитализация;3955.59;2025-07-03 10:30:04;0;0;2;3;2;;1;INCOMING
Выплата займа (5042);-2589.23;2025-08-19 13:12:06;1;1;2;9;6;;3;OUTGOING
Купил ленту (8285);2970.05;2025-08-22 22:15:42;0;1;2;2;2;;1;TRANSFER
Капитализация;-3813.87;2025-11-07 15:18:03;0;0;2;9;6;;3;OUTGOING
Оплата товара;2533.55;2025-09-09 23:29:22;1;1;1;6;3;;2;INCOMING
Зарплата (1394);4604.70;2025-11-11 05:05:52;0;1;1;8;5;;3;TRANSFER
Зарплата;4767.19;2025-07-01 18:58:39;0;0;1;8;5;;3;TRANSFER
Зарплата;3703.55;2025-06-10 08:03:28;0;0;1;7;5;;3;TRANSFER
Перевод на счет;3905.84;2025-07-07 05:07:36;0;0;2;5;4;;2;TRANSFER
Зарплата;3138.04;2025-08-17 03:25:18;1;0;1;5;3;;2;TRANSFER
Перевод на счет (1785);3370.93;2025-06-09 14:18:19;0;0;2;1;2;;1;TRANSFER
Купил ленту;-4655.87;2025-10-21 04:24:00;1;0;2;5;4;;2;OUTGOING
Зарплата;1864.67;2025-08-18 04:52:51;0;0;2;7;6;;3;TRANSFER
Приход с карты;3867.86;2025-07-14 18:16:42;0;1;2;1;2;;1;INCOMING
Выплата займа;1842.00;2025-11-10 18:29:22;0;0;2;4;4;210;2;INCOMING
Платеж в сервис;4386.12;2025-11-07 00:20:31;0;1;1;3;1;;1;TRANSFER
Платеж в сервис;2460.65;2025-05-30 14:48:39;0;1;1;1;1;119;1;INCOMING
Выплата займа;4872.80;2025-06-04 02:50:33;0;0;2;9;6;;3;INCOMING
Купил ленту;-1184.62;2025-07-05 19:32:42;1;1;1;3;1;;1;OUTGOING
Расход на поездку (1323);-681.42;2025-10-05 11:05:51;0;0;2;4;4;;2;OUTGOING
Купил ленту (5970);-2260.13;2025-08-11 05:43:17;0;0;2;4;4;;2;OUTGOING
Вывод на карту;742.47;2025-09-24 20:15:50;1;1;1;6;3;154;2;INCOMING
Оплата товара;2780.21;2025-08-26 20:35:11;0;1;1;4;3;;2;INCOMING
Оплата товара (3741);-991.47;2025-07-30 22:34:39;0;1;1;1;1;34;1;OUTGOING
Перевод на счет (5532);-214.44;2025-08-10 19:33:44;0;1;2;3;2;;1;OUTGOING
Выплата процентов;1074.37;2025-06-22 12:33:25;1;1;2;1;2;126;1;INCOMING
Расход на поездку;2395.68;2025-06-04 15:01:16;1;0;2;8;6;;3;TRANSFER
Выплата процентов;3974.44;2025-11-13 22:17:16;1;1;1;9;5;;3;TRANSFER
Купил ленту (527);2985.98;2025-05-25 02:39:18;1;0;2;5;4;;2;INCOMING
Перевод на счет (4051);2668.91;2025-10-09 06:12:32;0;0;1;9;5;;3;INCOMING
Перевод на счет (9807);4031.24;2025-09-22 09:48:39;0;1;2;6;4;;2;INCOMING
Расход на поездку;-2452.69;2025-06-05 01:58:33;0;0;1;7;5;;3;OUTGOING
Кредитный платеж (2237);3584.97;2025-11-01 05:11:49;1;0;2;1;2;;1;INCOMING
Приход с карты;4802.83;2025-07-26 01:58:34;1;0;1;8;5;;3;INCOMING
Выплата займа;4803.35;2025-09-13 16:31:22;0;1;1;1;1;;1;TRANSFER
Зарплата;637.61;2025-09-28 00:36:50;1;0;2;1;2;;1;INCOMING
Выплата процентов;704.08;2025-09-30 23:56:50;0;1;1;8;5;;3;INCOMING
Расход на поездку (3535);-3466.19;2025-07-21 22:08:34;0;0;2;1;2;;1;OUTGOING
Перевод на счет;4408.97;2025-07-22 01:22:58;1;0;2;8;6;;3;INCOMING
